Rank,Company Name,Number of Employees,"Change in 
Rank",Industry,Company Description,"Revenues
($millions)","Revenue 
Change","Profits
($millions)","Profit 
Change","Assets
($millions)","Market Value 
As of 3/31/21 ($m)"
343,Reliance Steel & Aluminum,"13,000",-52,Metals,Reliance Steel & Aluminum Co. Is A Leading Diversified Metal Solutions Provider.,"$8,812",-19.70%,$369.10,-47.40%,"$8,107","$9,686"
344,EMCOR Group,"33,000",-,Construction Company,"Emcor Group, Inc. Provides Electrical And Mechanical Construction And Facilities Services.","$8,797",-4.10%,$132.90,-59.10%,"$5,064","$6,146"
345,Owens & Minor,"18,800",-13,Healthcare Company,"Owens & Minor, Inc. Is A Global Healthcare Logistics Company.","$8,707",-9.80%,$29.90,-,"$3,336","$2,763"
346,Mosaic,"12,617",10,Mining & Metals,The Mosaic Company Mines And Processes Phosphate And Potash Minerals Into Crop Nutrients To Help Feed The World.,"$8,682",-2.50%,$666.10,-,"$19,790","$11,983"
347,Erie Insurance Group,"5,849",29,Insurance Company,"Erie Insurance Offers A Range Of Services To Meet Family Insurance Needs, Including A Variety Of Home And Tenant (renters) Insurance Policy.","$8,666",2.60%,"$1,173.10",112.90%,"$25,381",-
348,Genworth Financial,"3,000",16,Insurance Company,"Genworth Financial, Inc. Is A Financial Services Company, Which Engages In The Provision Of Insurance, Wealth Management, Investment And Financial Solutions.","$8,658",-0.30%,$178.00,-48.10%,"$105,747","$1,679"
349,Amphenol,"80,000",37,Fiber Optic Cable Manufacturing Company,"Amphenol Corporation Is A Major Producer Of Electronic And Fiber Optic Connectors, Cable And Interconnect Systems Such As Coaxial Cables. ","$8,599",4.50%,"$1,203.40",4.20%,"$12,327","$39,526"
350,Builders FirstSource,"26,000",75,Millwork,"Builders Firstsource, Inc. Is A Manufacturer And Supplier Of Building Materials. The Company Is The Largest Supplier Of Building Products, Prefabricated Components And Value-added Services In The Us","$8,559",17.60%,$313.50,41.40%,"$4,174","$9,572"
351,Oneok,"2,886",-38,Natural Gas Liquids Company,The Company Is Involved In The Natural Gas And Natural Gas Liquids Business Across The United States.,"$8,542",-16.00%,$612.80,-52.10%,"$23,079","$22,543"
352,United Rentals,"18,250",-12,Construction Company,"United Rentals Is An Equipment Rental Distributor That Deploys People, Tools, And Solutions To Enable Their Customers To Build Constructions. ","$8,530",-8.80%,$890.00,-24.20%,"$17,868","$23,819"
353,Brighthouse Financial,"1,400",104,Life Insurance Company,Brighthouse Financial Offers Annuities And Life Insurance That Help Protect What People Have Earned And Ensure It Lasts.,"$8,503",29.70%,"-$1,061.00",-,"$247,869","$3,867"
354,Regeneron Pharmaceuticals,"9,123",51,Biotechnology,"Regeneron Pharmaceuticals, Inc. Is An American Biotechnology Company. ","$8,497",8.10%,"$3,513.20",66.00%,"$17,163","$50,688"
355,Eastman Chemical,"14,500",-12,Chemical Industry Company,Eastman Chemical Company Is An American Company Primarily Involved In The Chemical Industry.,"$8,473",-8.60%,$478.00,-37.00%,"$16,083","$15,033"
356,CommScope Holding,"30,000",25,Infrastructure Company,"Commscope Holding Company, Inc. Is A Provider Of Infrastructure Solutions For Communication And Entertainment Networks.","$8,436",1.10%,-$573.40,-,"$13,577","$3,124"
357,Ryder System,"39,000",-3,Transport Company,"Ryder, Is An American Transportation And Logistics Company. It Is Especially Known For Its Fleet Of Commercial Rental Trucks.","$8,420",-5.70%,-$122.30,-,"$12,932","$4,072"
358,Fifth Third Bancorp,"19,872",-33,Banking Company,"It Is The Principal Subsidiary Of Fifth Third Bancorp, A Diversified Bank Holding Company.","$8,402",-14.20%,"$1,427.00",-43.20%,"$204,680","$26,629"
359,Constellation Brands,"9,000",33,Beverages,"It Is An American Producer And Marketer Of Beer, Wine, And Spirits.","$8,344",2.80%,-$11.80,-100.30%,"$27,323","$44,248"
360,Insight Enterprises,"11,006",49,Business-to-business,Insight Enterprises Inc. Is A Global Technology Company That Focuses On Business-to-business And Information Technology Capabilities For Enterprises.,"$8,341",7.90%,$172.60,8.30%,"$4,311","$3,350"
361,Global Partners,"2,958",-115,Energy Supply Company,Global Partners Lp Is An American Energy Supply Company.,"$8,322",-36.40%,$102.20,185.00%,"$2,541",$726
362,Univar Solutions,"9,457",-23,Chemicals Company,Univar Solutions Inc. Is A Global Chemical And Ingredients Distributor And Provider Of Value-added Services Which Works With Leading Suppliers Worldwide.,"$8,265",-12.50%,$52.90,-,"$6,355","$3,651"
363,Yum China Holdings,"271,000",-2,Fast Food Restaurant Company,"Yum China Holdings, Inc. Is China's Leading Restaurant Company With A Vision Of Becoming The World's Most Innovative Pioneer In Restaurant Industry.","$8,263",-5.80%,$784.00,10.00%,"$10,875","$24,892"
364,Targa Resources,"2,372",1,Fast Food Restaurant Company,Targa Resources Is A Growth-oriented Provider Of Midstream Services And Is One Of The Largest Independent Midstream Energy Companies In North America.,"$8,260",-4.70%,"-$1,553.90",-,"$15,876","$7,260"
365,Intercontinental Exchange,"8,890",94,Technology Company,"Intercontinental Exchange Builds, Operates And Advances Global Markets Through Information, Technology And Expertise.","$8,244",25.90%,"$2,089.00",8.10%,"$126,200","$62,844"
366,Andersons,"2,294",24,Food Production," It Provided Merchandising, Production, And Distribution Of Products And Services To The Agribusiness Community, Organized Into Multiple Business Groups","$8,208",0.50%,$7.70,-57.90%,"$4,272",$922
367,Raymond James Financial,"14,800",29,Investment Banking Company,"A Diversified Financial Services Firm, Focused On Providing Trusted Advice And Tailored, Sophisticated Solutions For Individuals And Institutions.","$8,168",1.80%,$818.00,-20.90%,"$47,482","$16,878"
368,Thor Industries,"22,250",36,Not-for-profit Organization,"The Organization Offers Life Insurance, Annuities, Mutual Funds, And Other Services. Thrivent Financial For Lutherans Foundation Serves Communities In The United States.","$8,168",3.90%,$223.00,67.30%,"$5,772","$7,460"
369,Thrivent Financial for Lutherans,"3,386",-1,Financial Services,"It's A Leading Provider Of Financial Services In The Academic, Research, Medical And Cultural Fields, Serving More Than 5 Million People. ","$8,153",-5.30%,$637.00,-34.20%,"$110,152",-
370,Hershey,"16,040",28,Chocolate And Cocoa Products Company,"The Hershey Company, Commonly Known As Hershey's, Is An American Multinational Company And One Of The Largest Chocolate Manufacturers In The World. It Also Manufactures Baked Products, Such As Cookies, Cakes, Milkshakes, Drinks, And Many More That Are Produced Globally.","$8,150",2.00%,"$1,278.70",11.20%,"$9,132","$32,765"
371,Casey's General Stores,"27,218",7,Convenience Store Company,"Casey's Offers A Wide Range Of Prepared Foods And Beverages In Addition To The Traditional Selection Of Snacks, Grocery Items, Retail Goods And Gasoline.","$8,112",-3.00%,$263.80,29.40%,"$3,944","$7,988"
372,W.R. Berkley,"7,495",30,Insurance,W. R. Berkley Corporation Is A Commercial Lines Property & Casualty Insurance Holding Company.,"$8,099",2.50%,$530.70,-22.20%,"$28,607","$13,364"
373,Activision Blizzard,"9,500",90,Video Game Company,"Activision Blizzard, Inc. Is An American Video Game Holding Company Based In Santa Monica, California.","$8,086",24.60%,"$2,197.00",46.20%,"$23,109","$72,052"
374,Western & Southern Financial Group,"2,729",27,Insurance,"Western & Southern Financial Group Is A Diversified Family Of Financial Services Companies With Assets Owned And Managed In Excess Of $67.5 Billion As Of March 2017. They Do So By Assisting In Insurance Protection, Investments And Retirement Planning.","$8,058",1.70%,$204.40,-16.50%,"$57,595",-
375,American Tower,"5,618",39,Real Estate Investment,American Tower Corporation Is An American Real Estate Investment Trust And An Owner And Operator Of Wireless And Broadcast Communications Infrastructure In Several Countries Worldwide,"$8,042",6.10%,"$1,690.60",-10.40%,"$47,234","$106,235"
376,American Financial Group,"7,300",7,Financial Services Company,"American Financial Group, Inc. Is An American Financial Services Holding Company Based In Cincinnati, Ohio.","$7,909",-4.00%,$732.00,-18.40%,"$73,566","$9,858"
377,Darden Restaurants,"177,895",-5,Restaurant Company,"Darden Restaurants, Inc. Is An American Multi-brand Restaurant.","$7,807",-8.30%,-$52.40,-107.30%,"$9,946","$18,507"
378,J.M. Smucker,"7,300",29,Food Processing And Manufacturing,"The J. M. Smucker Company Is An American Manufacturer Of Jam, Peanut Butter, Jelly, Fruit Syrups, Beverages, Shortening, Ice Cream Toppings, And Other Products In North America. ","$7,801",-0.50%,$779.50,51.50%,"$16,970","$13,866"
379,Williams,"4,739",8,Racing Team,Williams Is Providing Infrastructure That Safely Delivers Natural Gas Products To Fuel A Clean Energy Economy.,"$7,719",-5.90%,$211.00,-75.20%,"$44,165","$28,778"
380,Intuit,"11,950",65,Software Company,"Intuit Inc. Is An American Business And Financial Software Company That Develops And Sells Financial, Accounting, And Tax Preparation Software And Related Services For Small Businesses, Accountants, And Individuals. ","$7,679",13.20%,"$1,826.00",17.30%,"$10,931","$104,897"
381,Citizens Financial Group,"17,584",14,Financial Service,"Citizens Financial Group, Inc. Is A Retail Bank Holding Company. ","$7,676",-4.80%,"$1,057.00",-41.00%,"$183,349","$18,768"
382,PPL,"12,318",26,Music Licensing Company,Phonographic Performance Limited Is A British Music Copyright Collective.,"$7,607",-2.10%,"$1,469.00",-15.90%,"$48,116","$22,178"
383,NVR,"6,100",34,Home Construction,"Nvr, Inc. Is A Company Engaged In Home Construction. It Also Operates A Mortgage Banking And Title Services Business.","$7,566",1.90%,$901.20,2.60%,"$5,777","$17,318"
384,Westinghouse Air Brake Technologies,"27,000",4,Railroad Manufacture,"Westinghouse Air Brake Technologies (dba Wabtec) Manufactures Braking Equipment And Other Parts For Locomotives, Freight Cars, And Passenger Railcars.","$7,556",-7.90%,$414.40,26.80%,"$18,455","$14,953"
385,Foot Locker,"33,522",12,Sportswear Company,"Foot Locker Retail, Inc. Is An American Sportswear And Footwear Retailer.","$7,548",-5.70%,$323.00,-34.20%,"$7,043","$5,809"
386,Cincinnati Financial,"5,266",14,Insurance,Cincinnati Financial Corporation Offers Property And Casualty Insurance.,"$7,536",-4.90%,"$1,216.40",-39.10%,"$27,542","$16,602"
387,Weyerhaeuser,"9,372",70,Paper & Forest Products,We Manage Forests And Manufacture Products That Make The World A Better Place.,"$7,532",14.90%,$797.00,-,"$16,311","$26,655"
388,Westlake Chemical,"9,220",3,Petrochemical Company,"Westlake Chemical Is An International Manufacturer And Supplier Of Petrochemicals, Polymers And Fabricated Building Products, Which Are Fundamental To Various Consumer And Industrial Markets.","$7,504",-7.60%,$330.00,-21.60%,"$13,835","$11,350"
389,Navistar International,"12,100",-105,Holding Company,Navistar International Corporation Is An American Holding Company Created In 1986 As The Successor To International Harvester. Navistar Operates As The Owner Of International Brand Of Trucks And Diesel Engines.,"$7,503",-33.30%,-$347.00,-257.00%,"$6,637","$4,391"
390,Magellan Health,"9,000",42,Managed Care Company,"Magellan Health Inc., Is An American For-profit Managed Health Care Company, Focused On Special Populations, Complete Pharmacy Benefits And Other Specialty Areas Of Healthcare.","$7,502",4.80%,$382.30,583.90%,"$3,360","$2,421"
391,Booz Allen Hamilton Holding,"27,200",59,Information Technology Consulting Company,"As A Consulting Firm With Expertise In Analytics, Digital, Engineering, And Cyber, We Help Businesses, Government, And Military Organizations Transform.","$7,464",11.30%,$482.60,15.30%,"$4,794","$11,090"
392,Autoliv,"64,716",-23,Automotive,Autoliv Is A Holding Company And A Supplier Of Automotive Safety Systems.,"$7,447",-12.90%,$186.90,-59.50%,"$8,157","$8,113"
393,S&P Global,"23,000",58,Corporation,"S&p Global Promotes Sustainable Growth In The Global Capital, Commodity And Corporate Markets.","$7,442",11.10%,"$2,339.00",10.20%,"$12,537","$85,002"
394,Global Payments,"24,000",159,Financial Service,Global Payments Inc. Is A Leading Worldwide Provider Of Payment Technology And Software Solutions Delivering Innovative Services To Our Customers Globally.,"$7,424",51.10%,$584.50,35.70%,"$44,202","$59,484"
395,Motorola Solutions,"18,000",8,Communications Equipment,"Motorola Solutions, Inc., Is A Data Communications And Telecommunications Equipment Provider That Succeeded Motorola, Inc.","$7,414",-6.00%,$949.00,9.30%,"$10,876","$31,786"
396,KeyCorp,"16,826",15,Financial Services,Key Corp Limited Provides Efficient Financial Services To The Industry Locally And Reduce Dependence On The Bigger Centers For Such Services.,"$7,337",-4.60%,"$1,343.00",-21.80%,"$170,336","$19,182"
397,Delek US Holdings,"3,532",-55,Petroleum Refining Company,"Delek Us Holdings, Inc. Is A Diversified Downstream Energy Company With Assets In Petroleum Refining, Logistics, Renewable Fuels And Convenience Store Retailing.","$7,302",-21.50%,-$608.00,-295.80%,"$6,134","$1,609"
398,Masco,"18,000",-14,Manufacturing Company,Masco Corporation Is A Manufacturer Of Products For The Home Improvement And New Home Construction Markets.,"$7,289",-11.50%,"$1,224.00",30.90%,"$5,777","$15,209"
399,Graybar Electric,"8,200",16,Logistics," It Conducts A Wholesale Distribution Business For Electrical, Communications And Data Networking Products, And Is A Provider Of Related Supply-chain Management And Logistics Services.","$7,266",-3.40%,$121.80,-15.70%,"$2,551",-
400,WEC Energy Group,"7,273",16,Energy Company,"It Provides Electricity And Natural Gas To Its Customers . The Company Operates Through Its Brands – We Energies (wisconsin Electric Power And Wisconsin Gas), Wisconsin Public Service, Peoples Gas, North Shore Gas, Michigan Gas Utilities, Minnesota Energy Resources And Upper Michigan Energy Resources.","$7,242",-3.70%,"$1,199.90",5.80%,"$37,028","$29,522"
401,Old Republic International,"9,000",26,Insurance,"Old Republic International Corporation Is An American Property Insurance And Title And Deed Company. It Is An Insurance Holding Company Whose Subsidiaries Market, Underwrite, And Provide Risk Management Services. ","$7,166",-0.70%,$558.60,-47.10%,"$22,815","$6,650"
402,Frontier Communications,"16,200",-9,Telecommunications Company,It Is An American Telecommunications Company.,"$7,155",-11.70%,-$402.00,-,"$16,795",$29
403,Chewy,"18,500",156,E-commerce Company,"Chewy, Inc. Is An American Online Retailer Of Pet Food And Other Pet-related Products.","$7,146",47.40%,-$92.50,-,"$1,741","$35,177"
404,PVH,"26,500",-82,Clothing Company,Pvh Is One Of The Most Admired Fashion And Lifestyle Companies In The World.,"$7,133",-28.00%,"-$1,136.10",-372.30%,"$13,294","$7,523"
405,Asbury Automotive Group,"7,750",23,Automobile,Asbury Automotive Group Is A Company Operates Auto Dealerships In Various Parts Of The United States.,"$7,132",-1.10%,$254.40,38.00%,"$3,676","$3,798"
406,Seaboard,"13,100",38,Agriculture And Shipping,Seaboard Corporation Is A Diverse Multinational Agribusiness And Transportation Conglomerate With Integrated Operations In Several Industries.,"$7,126",4.20%,$283.00,-,"$6,399","$4,283"
407,Polaris,"15,000",35,Automotive,"Polaris Inc. Is An American Manufacturer Of Motorcycles, Snowmobiles, Atv, And Neighborhood Electric Vehicles.","$7,108",3.60%,$124.80,-61.50%,"$4,633","$8,179"
408,Dana,"38,200",-41,Automotive Industry,"Dana Engineers, Manufactures, And Distributes Power-conveyance And Energy-management Solutions For The Vehicles Of Today And Tomorrow.","$7,106",-17.60%,-$31.00,-113.70%,"$7,376","$3,529"
409,First American Financial,"19,597",67,Financial Services Company,First American Financial Corporation Is An American Financial Services Company Which Provides Title Insurance And Settlement Services To The Real Estate And Mortgage Industries.,"$7,087",14.30%,$696.40,-1.60%,"$12,796","$6,217"
410,Cintas,"40,000",31,Business Services Company," It Provides Specialized Services To Businesses, Primarily In North America.","$7,085",2.80%,$876.00,-1.00%,"$7,670","$35,851"
411,Toll Brothers,"4,500",15,Home Construction,"Toll Brothers Is A Home Construction Company That Specializes In Building Luxury Homes. In 2020, The Company Was The 8th Largest Home Builder In The United States, Based On The Number Of Homes Closed.","$7,078",-2.00%,$446.60,-24.30%,"$11,066","$6,985"
412,Science Applications International,"26,134",54,Information Technology Company,"Science Applications International Corporation (saic) Is A Provider Of Technical, Engineering And Enterprise Information Technology (it) Services.","$7,056",10.60%,$209.00,-7.50%,"$5,723","$4,854"
413,Owens Corning,"19,000",18,General Building Materials,"Owens Corning Is An American Company That Develops And Produces Insulation, Roofing, And Fiberglass Composites And Related Materials And Products.","$7,055",-1.50%,-$383.00,-194.60%,"$9,481","$9,663"
414,Zimmer Biomet Holdings,"20,000",-15,Medical Device,"Leading Medical Device Manufacturers, Zimmer And Biomet, Join To Offer Innovative Orthopedic Medical Devices And Joint Replacement. ","$7,025",-12.00%,-$138.90,-112.30%,"$24,418","$33,347"
415,Xerox Holdings,"24,700",-68,Information Technology,"Xerox Holdings Corporation Designs, Develops, And Sells Document Management Systems And Solutions In The United States, Europe, Canada, And Internationally.","$7,022",-23.20%,$192.00,-85.80%,"$14,741","$4,821"
416,Arthur J. Gallagher,"32,401",13,Investment,"Arthur J. Gallagher & Co. Is A Us-based Global Insurance Brokerage And Risk Management Services Firm Headquartered In Rolling Meadows, Illinois. The Firmis One Of The Largest Insurance Brokers In The World","$7,004",-2.70%,$818.80,22.40%,"$22,331","$24,353"
417,Avery Dennison,"32,000",18,Packaging,"Avery Dennison Corporation Is A Multinational Manufacturer And Distributor Of Pressure-sensitive Adhesive Materials, Apparel Branding Labels And Tags, Rfid Inlays, And Specialty Medical Products. ","$6,972",-1.40%,$555.90,83.10%,"$6,084","$15,247"
418,Sanmina,"33,500",-33,Electrical & Electronic Manufacturing,Sanmina Corporation Provides Electronics Contract Manufacturing Services To Customers Located Around The World.,"$6,960",-15.50%,$139.70,-1.30%,"$3,773","$2,687"
419,Jefferies Financial Group,"4,945",101,Investment Banking Company,"The Firm Provides Clients With Capital Markets And Financial Advisory Services, Institutional Brokerage, Securities Research, And Asset Management.","$6,956",29.80%,$775.20,-19.60%,"$53,118","$7,525"
420,Beacon Roofing Supply,"7,582",14,Publicly Traded Company,"Beacon Is An American Publicly Traded Company Which Sells Residential And Non-residential Roofing Products, As Well As Related Building Products In North America.","$6,944",-2.30%,-$80.90,-,"$6,958","$3,631"
421,Securian Financial Group,"6,537",34,Financial Services Company,"Securian Financial Group, Inc. Is A Mutual Holding Company That Provides A Range Of Financial Products And Services. ","$6,870",4.10%,$243.30,-44.10%,"$68,059",-
422,Oshkosh,"14,400",-45,Apparel Company,Oshkosh B'gosh Is An American Children's Apparel Company Founded In Oshkosh.,"$6,857",-18.20%,$324.50,-44.00%,"$5,816","$8,115"
423,FM Global,"5,625",24,Insurance Company,"Fm Global's Multinational Presence And Capabilities Allow Us To Provide Seamless Insurance Solutions, Services And Claims Response Around The World.","$6,798",0.80%,"$1,731.90",-30.10%,"$27,976",-
424,Booking Holdings,"20,199",-214,Engineering Company,"Booking Holdings Is The World's Leader In Online Travel. Brands Include Booking.com, Priceline.com, Agoda.com, Kayak, Rentalcars.com & Opentable.","$6,796",-54.90%,$59.00,-98.80%,"$21,874","$95,434"
425,Williams-Sonoma,"16,600",64,Retail Company,"Williams-sonoma, Inc. Is An American Publicly Traded Consumer Retail Company That Sells Kitchen-wares And Home Furnishings.","$6,783",15.00%,$680.70,91.20%,"$4,661","$13,654"
426,Coty,"18,260",-60,Beauty,"Coty Is A Global Beauty Company Making Cosmetic, Skin, Fragrance & Hair Brands. We Positively Disrupt To Create A Radically Inclusive World Of Beauty.","$6,738",-22.10%,"-$1,006.70",-,"$16,729","$6,909"
427,Clorox,"8,800",47,Consumer Household Products,It Is An American Global Manufacturer And Marketer Of Consumer And Professional Products.,"$6,721",8.20%,$939.00,14.50%,"$6,213","$24,263"
428,Pioneer Natural Resources,"1,853",-87,Energy Company,Pioneer Natural Resources Co. Operates As An Independent Oil And Gas Exploration And Production Company.,"$6,685",-28.30%,-$200.00,-125.90%,"$19,229","$34,397"
429,Dover,"23,000",4,Conglomerate Company,Dover Corporation Is An American Conglomerate Manufacturer Of Industrial Products.,"$6,684",-6.30%,$683.50,0.80%,"$9,152","$19,727"
430,CMS Energy,"8,493",13,Energy Company,"Cms Energy Based In Jackson, Michigan, Is An Energy Company That Is Focused Principally On Utility Operations In Michigan","$6,680",-2.40%,$755.00,11.00%,"$29,666","$17,719"
431,Zoetis,"11,300",41,Pharmaceuticals,"Zoetis Inc. Is An American Drug Company, The World's Largest Producer Of Medicine And Vaccinations For Pets And Livestock. ","$6,675",6.60%,"$1,638.00",9.20%,"$13,609","$74,829"
432,Hanesbrands,"61,000",4,Clothing Company,"Hanesbrands Inc. Is An American Multinational Clothing Company Based In Winston-salem, North Carolina.","$6,664",-4.30%,-$75.60,-112.60%,"$7,699","$6,865"
433,Packaging Corp. of America,"15,200",4,Packaging And Containers,"Packaging Corporation Of America Is An American Manufacturing Company Based In Lake Forest, Illinois. ","$6,658",-4.40%,$461.00,-33.80%,"$7,433","$12,775"
434,Regions Financial,"19,406",12,Bank Holding Company.,"Regions Financial Corporation, A Financial Holding Company, Provides Banking And Bank-related Services To Individual And Corporate Customers. ","$6,655",-1.50%,"$1,094.00",-30.80%,"$147,389","$19,848"
435,Graphic Packaging Holding,"18,775",42,Paperboard Mills Company,It Is A Leading Company In The Design And Manufacturing Of Packaging For Commercial Products.,"$6,560",6.50%,$167.30,-19.10%,"$7,805","$4,862"
436,UGI,"11,300",-13,Natural Gas Distribution,"Ugi Corporation Is A Natural Gas And Electric Power Distribution Company With Extensive Operations In The United States And Europe. Ugi Owns Amerigas, The Largest Propane Marketer In The United States. Ugi Also Owns Avantigas, Antargaz And Flaga In Europe","$6,559",-10.40%,$532.00,107.70%,"$13,985","$8,553"
437,Sprouts Farmers Market,"33,000",65,Supermarket,"Sprouts Farmers Market, Inc., Is A Supermarket Chain. The Grocer Offers A Wide Selection Of Natural And Organic Foods, Including Fresh Produce, Bulk Foods, Vitamins .","$6,469",14.80%,$287.50,92.10%,"$2,806","$3,140"
438,Avantor,"12,400",46,Biotechnology,"It  Is A Leading Global Provider Of Mission-critical Products And Services To Customers In The Biopharma, Healthcare, Education & Government, And Advanced Technologies & Applied Materials Industries.","$6,394",5.80%,$116.60,208.50%,"$9,907","$16,631"
439,Veritiv,"6,400",-27,Logistics,"It Is A Business-to-business Distributor Of Packaging, Facility Solutions, Print And Publishing Products And Services; And Also A Provider Of Logistics And Supply Chain Management Solution","$6,346",-17.20%,$34.20,-,"$2,335",$680
440,Rockwell Automation,"23,500",12,Information Technology,"Rockwell Automation, Inc., Is An American Provider Of Industrial Automation And Information Technology.","$6,330",-5.50%,"$1,023.40",47.10%,"$7,265","$30,832"
441,MasTec,"18,000",-11,Engineering Company,"Mastec, Inc. Is An American Multinational Infrastructure Engineering And Construction Company Based In Coral Gables, Florida.","$6,321",-12.00%,$322.80,-17.70%,"$5,228","$6,953"
442,DCP Midstream,"1,837",-29,Petroleum Services,"Dcp Midstream Partners, Lp Is A Midstream Petroleum Services, Headquartered In Denver, Colorado. As A Publicly Traded Partnership, The Company Does Not Have Directors, Officers, Or Employees Of Its Own, But Relies On Its General Partner For Managing Its Operations. It Is Dedicated To Meeting The Energy And Cosumer Needs.","$6,302",-17.40%,-$306.00,-1900.00%,"$12,957","$4,513"
443,Northern Trust,"20,900",-3,Financial Services Company,"Northern Trust Delivers Financial Services And Technological Expertise For Corporations, Institutions And Private Individuals Around The World.","$6,301",-8.60%,"$1,209.30",-19.00%,"$170,004","$21,854"
444,M&T Bank,"17,046",-6,Bank Holding Company,"M&t Bank Corporation Is An American Bank Holding Company Headquartered In Buffalo, New York.","$6,281",-9.50%,"$1,353.20",-29.90%,"$142,601","$19,502"
445,Realogy Holdings,"9,335",45,Real Estate,Realogy Holdings Corp. Is An American Publicly Owned Real Estate And Relocation Services Company.,"$6,221",6.00%,-$360.00,-,"$6,934","$1,767"
446,NCR,"36,000",-7,Software Company,"Ncr Corporation, Previously Known As National Cash Register, Is An American Software, Managed And Professional Services, Consulting And Technology Company That Also Makes Self-service Kiosks, Point-of-sale Terminals, Automated Teller Machines, Check Processing Systems, And Barcode Scanners","$6,207",-10.20%,-$79.00,-114.00%,"$8,414","$4,943"
447,T. Rowe Price,"7,678",57,Investment Management,"T. Rowe Price Group, Inc. Is A Global Investment Management Firm That Offers Funds, Advisory Services, Account Management, And Retirement Plans And Services For Individuals, Institutions, And Financial Intermediaries","$6,207",10.50%,"$2,372.70",11.30%,"$10,659","$39,031"
448,Vertex Pharmaceuticals,"3,400",178,Biopharmaceutical,"Vertex Pharmaceuticals, Inc. Is An American Biopharmaceutical Company . It Was One Of The First Biotech Firms To Use An Explicit Strategy Of Rational Drug Design Rather Than Combinatorial Chemistry.","$6,206",49.10%,"$2,711.60",130.40%,"$11,752","$55,863"
449,Big Lots,"23,900",77,Retail Company,"Big Lots, Inc. Is An American Retail Company Headquartered In Columbus,","$6,199",16.50%,$629.20,159.50%,"$4,037","$2,394"
450,Ralph Lauren,"19,300",19,Fashion Company,Ralph Lauren Corporation Is An American Fashion Company Producing Products Ranging From The Mid-range To The Luxury Segments.,"$6,160",-2.40%,$384.30,-10.80%,"$7,280","$9,005"
451,Ulta Beauty,"26,500",-33,Beauty Salon,"It Is An American Chain Of Beauty Stores  Ulta Beauty Carries Cosmetics And Skincare Brands, Men's And Women's Fragrances, Nail Products, Bath And Body Products, Beauty Tools And Haircare Products. ","$6,152",-16.80%,$175.80,-75.10%,"$5,090","$17,377"
452,Taylor Morrison Home,"2,700",115,Real Estate,Taylor Morrison Home Corporation (taylor Morrison) Is A Home Building And Land Developing Company.,"$6,129",28.70%,$243.40,-4.40%,"$7,738","$3,969"
453,Icahn Enterprises,"23,833",-101,Conglomerate Company,"The Company Has Investments In Various Industries Including Auto Parts, Energy, Metals, Rail Cars, Casinos, Food Packaging, Real Estate, And Home Fashion.","$6,123",-31.90%,"-$1,653.00",-,"$24,987","$12,965"
454,Blackstone Group,"3,165",-34,Investment,"Blackstone Is A Leading Global Investment Business Investing Capital On Behalf Of Pension Funds, Large Institutions And Individuals. Our Mission Is To Create Long-term Value For Our Investors Through The Careful Stewardship Of Their Capital. We Invest Across The Alternative Asset Classes In Private Equity, Real Estate, Credit And Hedge Funds As Well As In Infrastructure, Life Sciences, Insurance, And Growth Equity. Our Efforts And Capital Grow Hundreds Of Companies And Support Local Economies.","$6,102",-16.80%,"$1,045.40",-49.00%,"$26,269","$50,967"
455,O-I Glass,"25,000",-2,Glass Container Manufacturing Company,"It Is One Of The World's Leading Manufacturers Of Packaging Products, Holding The Position Of Largest Manufacturer Of Glass Containers In North America, South America, Asia-pacific And Europe","$6,091",-9.00%,$249.00,-,"$8,882","$2,327"
456,Fortune Brands Home & Security,"27,505",38,Consumer Discretionary Products,"Fortune Brands Is An American Manufacturer Of Home Fixtures And Hardware, Headquartered In Deerfield, Illinois.","$6,090",5.70%,$553.10,28.10%,"$7,359","$13,264"
457,NOV,"27,631",-83,Oil And Gas,"It Is A Leading Global Supplier Of Energy And Industrial Solutions, Products And Engineered Equipment Packages. From A Network Of Locations Across More Than 20 Countries And A Complementary Suite Of Online Digital Channels, Dnow Provides Thousands Of Pvf, Mro And Oem Products To The Energy And Industrial Markets Worldwide. ","$6,090",-28.20%,"-$2,542.00",-,"$9,929","$5,326"
458,Ovintiv,"1,916",-9,Natural Gas Company,"Ovintiv Inc. Is A Hydrocarbon Exploration And Production Company Organized In Delaware And Headquartered In Denver, United States.","$6,087",-9.50%,"-$6,097.00",-2705.60%,"$14,469","$6,220"
459,Alexion Pharmaceuticals,"3,837",88,Pharmaceutical Company,Alexion Is A Global Biopharmaceutical Company Focused On Developing Life-changing Therapies For People Living With Rare Disorders.,"$6,070",21.60%,$603.40,-74.90%,"$18,103","$33,596"
460,Huntsman,"9,000",-78,Chemical Manufacturing Company,Huntsman Corporation Is An American Multinational Manufacturer And Marketer Of Chemical Products For Consumers And Industrial Customers.,"$6,025",-27.80%,"$1,034.00",84.00%,"$8,713","$6,390"
461,Equinix,"10,013",48,Internet,"Equinix Is An Internet Company That Provides Data Center Services For Companies, Businesses, And Organizations.","$5,999",7.80%,$369.80,-27.10%,"$27,007","$60,679"
